original_accession_n,new_name
GB_GCA_003599815.1_protein,p__Auribacterota
GB_GCA_004322275.1_protein,p__Desulfobacterota_C
RS_GCF_012317585.1_protein,p__Desulfobacterota
GB_GCA_012840065.1_protein,p__DUMD01
GB_GCA_012838305.1_protein,p__Bacillota_G
GB_GCA_016867715.1_protein,p__JABDJQ01
GB_GCA_016713405.1_protein,p__Acidobacteriota
GB_GCA_016784605.1_protein,p__Marinisomatota
GB_GCA_905235605.1_protein,p__UBP6
GB_GCA_018725175.1_protein,p__HKB111
GB_GCA_020344215.1_protein,p__Gemmatimonadota
GB_GCA_022562795.1_protein,p__JADFOP01
GB_GCA_022822725.1_protein,p__JAAXHH01
GB_GCA_024276815.1_protein,p__JACRDZ01
GB_GCA_934202965.1_protein,p__Bacillota_C
GB_GCA_021160885.1_protein,p__Calditrichota
GB_GCA_020637395.1_protein,p__AABM5-125-24
GB_GCA_021157815.1_protein,p__4484-113
GB_GCA_022827275.1_protein,p__Desulfobacterota_D
GB_GCA_021158465.1_protein,p__UBP14
GB_GCA_021158005.1_protein,p__Aerophobota
GB_GCA_024276575.1_protein,p__Desulfobacterota_B
GB_GCA_021790385.1_protein,p__Planctomycetota
GB_GCA_023248955.1_protein,p__Myxococcota
GB_GCA_021162505.1_protein,p__AUK180
GB_GCA_022828125.1_protein,p__UBA8248
GB_GCA_021818985.1_protein,p__SZUA-79
