original_accession_n,new_name
GB_GCA_903925285.1_protein,c__Hydrogenedentia
GB_GCA_903847385.1_protein,c__Bradymonadia
GB_GCA_014382805.1_protein,c__UBA1135
GB_GCA_016178725.1_protein,c__RBG-16-71-46
GB_GCA_015711795.1_protein,c__Aquicultoria
GB_GCA_016217735.1_protein,c__UBA7883
GB_GCA_016208165.1_protein,c__JACQYL01
GB_GCA_015493505.1_protein,c__S145-22
GB_GCA_016196885.1_protein,c__JACPWU01
GB_GCA_016935485.1_protein,c__JAFGQW01
GB_GCA_016867335.1_protein,c__JAAXHH01
GB_GCA_016867835.1_protein,c__AABM5-125-24
GB_GCA_016935765.1_protein,c__UBA6098
GB_GCA_016936735.1_protein,c__JAFGXH01
GB_GCA_016928395.1_protein,c__JAFGKV01
GB_GCA_016703535.1_protein,c__WYAZ01
GB_GCA_016713535.1_protein,c__JADJOY01
GB_GCA_016795285.1_protein,c__B15-G4
GB_GCA_018818125.1_protein,c__Ozemobacteria
GB_GCA_018824205.1_protein,c__UBA2242
RS_GCF_024807195.1_protein,c__HRBIN17
GB_GCA_019638775.1_protein,c__Fimbriimonadia
GB_GCA_020717845.1_protein,c__CG2-30-40-21
GB_GCA_023436205.1_protein,c__Chitinivibrionia
GB_GCA_023617515.1_protein,c__Deferrimicrobia
GB_GCA_020725425.1_protein,c__UBA5301
GB_GCA_021806765.1_protein,c__UBA6077
GB_GCA_024655865.1_protein,c__JANLFM01
GB_GCA_020348885.1_protein,c__B26-G2
GB_GCA_023132135.1_protein,c__JAGLYR01
GB_GCA_023481175.1_protein,c__Leptospirillia
GB_GCA_024277675.1_protein,c__SZUA-182
GB_GCA_020342115.1_protein,c__B62-G9
GB_GCA_020051775.1_protein,c__B3-LCP
GB_GCA_024653345.1_protein,c__Bipolaricaulia
GB_GCA_021734065.1_protein,c__UBA8477
GB_GCA_023129165.1_protein,c__UBA3073
GB_GCA_020073205.1_protein,c__Polarisedimenticolia
GB_GCA_022566355.1_protein,c__JdFR-76
GB_GCA_024699235.1_protein,c__Spirochaetia
GB_GCA_022646745.1_protein,c__4484-113
GB_GCA_020725675.1_protein,c__DUSP01
GB_GCA_020724425.1_protein,c__DVGY01
GB_GCA_023151185.1_protein,c__JABWAT01
GB_GCA_021325635.1_protein,c__JAJPGV01
GB_GCA_919901855.1_protein,c__CAKKQC01
GB_GCA_024274785.1_protein,c__JAJSAM01
RS_GCF_000519125.1_protein,c__Desulfovibrionia
RS_GCF_000328765.2_protein,c__Thermosediminibacteria
RS_GCF_000195295.1_protein,c__Desulfobaccia
RS_GCF_000020005.1_protein,c__Natranaerobiia
GB_GCA_001508335.1_protein,c__32-111
RS_GCF_900119915.1_protein,c__Coriobacteriia
GB_GCA_001789205.1_protein,c__OXYB2-FULL-49-7
GB_GCA_001790855.1_protein,c__GWA2-38-11
RS_GCF_900104455.1_protein,c__Negativicutes
GB_GCA_002412715.1_protein,c__Syntrophorhabdia
GB_GCA_002404055.1_protein,c__UBA4733
GB_GCA_002410925.1_protein,c__UBA5359
GB_GCA_003158675.1_protein,c__Limnocylindria
GB_GCA_002877915.1_protein,c__Aminicenantia
GB_GCA_003576915.1_protein,c__UBA8742
GB_GCA_005790545.1_protein,c__GCA-002687715
GB_GCA_004375965.1_protein,c__E44-bin80
GB_GCA_007131925.1_protein,c__DG-23
RS_GCF_003390325.1_protein,c__Rhodothermia
RS_GCF_004766055.1_protein,c__Desulfitobacteriia
RS_GCF_014203025.1_protein,c__Chrysiogenetes
GB_GCA_007693385.1_protein,c__Anaerolineae
GB_GCA_009773755.1_protein,c__MHYJ01
GB_GCA_012961925.1_protein,c__MVCY01
GB_GCA_013178305.1_protein,c__JABLXB01
GB_GCA_013150955.1_protein,c__Calditrichia
GB_GCA_012522765.1_protein,c__UBA5377
GB_GCA_902790465.1_protein,c__CADAWZ01
GB_GCA_012730075.1_protein,c__Acidimicrobiia
GB_GCA_013153965.1_protein,c__Hydrothermia
GB_GCA_011046395.1_protein,c__QYQD01
GB_GCA_012523785.1_protein,c__DTU030
