original_accession_n,new_name
GB_GCA_021820245.1_protein,g__JAJZOT01
GB_GCA_023140195.1_protein,g__JAGLME01
GB_GCA_020343515.1_protein,g__JAGLML01
GB_GCA_019322805.1_protein,g__JAHWIC01
GB_GCA_021324265.1_protein,g__DSFO01
GB_GCA_021828085.1_protein,g__JAKATE01
GB_GCA_024278375.1_protein,g__WALJ01
GB_GCA_021817415.1_protein,g__JAKAUZ01
GB_GCA_022866015.1_protein,g__M9B1D
GB_GCA_025059745.1_protein,g__JANXDH01
GB_GCA_021826925.1_protein,g__JAKAYB01
GB_GCA_021325615.1_protein,g__Nitrosotalea
GB_GCA_024650005.1_protein,g__BIN-L-1
GB_GCA_021324115.1_protein,g__JAJPJS01
GB_GCA_022759365.1_protein,g__Thermogladius
GB_GCA_022014875.1_protein,g__Vulcanisaeta
GB_GCA_019685575.1_protein,g__JABFQO01
GB_GCA_025059205.1_protein,g__Terraquivivens
GB_GCA_020354575.1_protein,g__GCA-020354575
GB_GCA_023145185.1_protein,g__JAGLEG01
GB_GCA_021161465.1_protein,g__JAGHAM01
RS_GCF_000145295.1_protein,g__Methanothermobacter
RS_GCF_000446015.1_protein,g__Thermofilum_B
RS_GCF_000019605.1_protein,g__Korarchaeum
RS_GCF_000723185.1_protein,g__Nitrosotenuis
RS_GCF_000012285.1_protein,g__Sulfolobus
RS_GCF_000784355.1_protein,g__Methanolacinia
RS_GCF_000186365.1_protein,g__Desulfurococcus
RS_GCF_000226975.2_protein,g__Halobiforma
RS_GCF_000172995.2_protein,g__Halogeometricum
RS_GCF_000016125.1_protein,g__Methanococcus
RS_GCF_000336915.1_protein,g__Halococcus
GB_GCA_000965745.1_protein,g__GCA-965745
GB_GCA_001273385.1_protein,g__AD8-1
GB_GCA_000496135.1_protein,g__GCA-000496135
GB_GCA_000960885.1_protein,g__Thermoproteus
RS_GCF_001469875.2_protein,g__Haloferax
RS_GCF_001462205.1_protein,g__Haloparvum
RS_GCF_001593955.1_protein,g__Halalkalicoccus
RS_GCF_001639265.1_protein,g__Methanobrevibacter_D
GB_GCA_001717015.1_protein,g__Methanosuratincola
RS_GCF_001886955.1_protein,g__Halodesulfurarchaeum
RS_GCF_002156705.1_protein,g__Natrarchaeobaculum
GB_GCA_002010075.1_protein,g__JdFR-19
GB_GCA_002010305.1_protein,g__JdFR-42
RS_GCF_002355655.1_protein,g__Halorubrum
RS_GCF_900104065.1_protein,g__Natronobacterium
GB_GCA_002506335.1_protein,g__UBA114
GB_GCA_002495885.1_protein,g__UBA148
GB_GCA_002506905.1_protein,g__Methanogranum
GB_GCA_002495625.1_protein,g__Methanobacterium_A
GB_GCA_003162615.1_protein,g__Fen-7
GB_GCA_003021785.1_protein,g__Halosegnis
GB_GCA_003162175.1_protein,g__Bog-38
GB_GCA_003552585.1_protein,g__PUNK01
GB_GCA_003560595.1_protein,g__PWKY01
GB_GCA_003352285.1_protein,g__PXYB01
GB_GCA_003491285.1_protein,g__UBA117
GB_GCA_005878615.1_protein,g__RBG-16-68-12
GB_GCA_005888735.1_protein,g__BA-19
GB_GCA_005888745.1_protein,g__40CM-2-53-6
GB_GCA_004347925.1_protein,g__WYZ-LMO6
GB_GCA_004211975.1_protein,g__Methanogaster
GB_GCA_004376295.1_protein,g__SOJZ01
GB_GCA_004377185.1_protein,g__SOIM01
RS_GCF_003947435.1_protein,g__Methanodesulfokores
RS_GCF_004102725.1_protein,g__Methanoculleus_A
RS_GCF_004137855.1_protein,g__Methanohalophilus
RS_GCF_000328525.1_protein,g__Halovivax
RS_GCF_000007185.1_protein,g__Methanopyrus
RS_GCF_009831455.1_protein,g__Salinirussus
RS_GCF_012027325.1_protein,g__Thermococcus_B
RS_GCF_013343295.1_protein,g__Metallosphaera
GB_GCA_902384795.1_protein,g__Gugararchaeum
GB_GCA_902386255.1_protein,g__Methanoperedens
GB_GCA_009903775.1_protein,g__Conexivisphaera
GB_GCA_012518185.1_protein,g__DTU008
GB_GCA_013114725.1_protein,g__QCWD01
GB_GCA_011041895.1_protein,g__DRAE01
GB_GCA_011523285.1_protein,g__WTHC01
GB_GCA_013153275.1_protein,g__JAADER01
GB_GCA_011046235.1_protein,g__DSAX01
GB_GCA_013388835.1_protein,g__JACAEL01
GB_GCA_013388895.1_protein,g__JACAEI01
GB_GCA_013329415.1_protein,g__MTP4
GB_GCA_903921825.1_protein,g__CAIXRF01
GB_GCA_013538805.1_protein,g__Nitrosocaldus
RS_GCF_000802205.1_protein,g__Nitrosocosmicus
RS_GCF_014647155.1_protein,g__Halarchaeum
RS_GCF_017873855.1_protein,g__Methanolinea_B
GB_GCA_004015825.1_protein,g__Halovenus
GB_GCA_015522685.1_protein,g__WALU01
GB_GCA_016184315.1_protein,g__JACQRY01
GB_GCA_016212395.1_protein,g__JACRGF01
GB_GCA_014859725.1_protein,g__Kmv04
GB_GCA_005239175.1_protein,g__Halalkalirubrum
GB_GCA_015521945.1_protein,g__JAADFH01
GB_GCA_015660995.1_protein,g__JACTUC01
GB_GCA_015520485.1_protein,g__Archaeoglobus_C
GB_GCA_016201435.1_protein,g__TA-20
GB_GCA_015522635.1_protein,g__WALW01
