original_accession_n,new_name
GB_GCA_003139855.1_protein,f__Bog-38
GB_GCA_004212085.1_protein,f__Methanoliparaceae
GB_GCA_004193545.1_protein,f__EX4572-44
GB_GCA_004525545.1_protein,f__UBA472
GB_GCA_007118075.1_protein,f__SKSH01
RS_GCF_008326425.1_protein,f__Sulfolobaceae
RS_GCF_009690625.1_protein,f__Haloarculaceae
GB_GCA_013178285.1_protein,f__Methanofastidiosaceae
GB_GCA_902785855.1_protein,f__Methanobacteriaceae
GB_GCA_011365055.1_protein,f__RDOG01
GB_GCA_013152685.1_protein,f__BMS3B
GB_GCA_012729535.1_protein,f__Methanospirillaceae
GB_GCA_015520425.1_protein,f__Caldarchaeaceae
GB_GCA_015523605.1_protein,f__JDFR-13
GB_GCA_015523685.1_protein,f__JdFR-42
GB_GCA_016928095.1_protein,f__EX4484-6
GB_GCA_016933055.1_protein,f__AMARA-1
GB_GCA_018396695.1_protein,f__TCS64
GB_GCA_018814355.1_protein,f__UBA10834
GB_GCA_018396775.1_protein,f__DTDX01
GB_GCA_018819225.1_protein,f__SBBD01
GB_GCA_018396915.1_protein,f__RBG-13-38-9
GB_GCA_019246625.1_protein,f__Nitrososphaeraceae
GB_GCA_016840405.1_protein,f__Hermodarchaeaceae
GB_GCA_018334755.1_protein,f__PWKY01
GB_GCA_018396405.1_protein,f__B26-1
RS_GCF_024138165.1_protein,f__Haladaptataceae
RS_GCF_021249345.1_protein,f__Halobacteriaceae
RS_GCF_024807035.1_protein,f__Methanococcaceae
GB_GCA_020833055.1_protein,f__Korarchaeaceae
GB_GCA_023131555.1_protein,f__SOJC01
GB_GCA_020832925.1_protein,f__Ignisphaeraceae
GB_GCA_023544605.1_protein,f__Methanocomedenaceae
GB_GCA_022865625.1_protein,f__FEN-987
GB_GCA_023137195.1_protein,f__EX4484-52
GB_GCA_019322485.1_protein,f__JAHWIC01
GB_GCA_020348445.1_protein,f__GCA-020350865
GB_GCA_024281315.1_protein,f__JAJSAE01
GB_GCA_023269235.1_protein,f__JAHFTW01
RS_GCF_000092305.1_protein,f__Methanocaldococcaceae
RS_GCF_000800805.1_protein,f__Methanomethylophilaceae
RS_GCF_000336715.1_protein,f__Halococcaceae
RS_GCF_000195915.1_protein,f__Thermoplasmataceae
RS_GCF_000193375.1_protein,f__Thermoproteaceae
RS_GCF_001412615.1_protein,f__Pyrodictiaceae
GB_GCA_000402355.1_protein,f__Iainarchaeaceae
GB_GCA_002011165.1_protein,f__JdFR-21
GB_GCA_002011395.1_protein,f__JdFR-45
