dset_name,node,type,dist_to_root,ec_cat,count
cla4arc,N0,ancient,0.0,2,271
cla4arc,N0,ancient,0.0,3,171
cla4arc,N0,ancient,0.0,1,144
cla4arc,N0,ancient,0.0,4,102
cla4arc,N0,ancient,0.0,6,73
cla4arc,N0,ancient,0.0,5,44
cla4arc,N1,ancient,0.26118,2,299
cla4arc,N1,ancient,0.26118,3,187
cla4arc,N1,ancient,0.26118,1,166
cla4arc,N1,ancient,0.26118,4,101
cla4arc,N1,ancient,0.26118,6,76
cla4arc,N1,ancient,0.26118,5,52
cla4arc,N10,ancient,0.63771,2,311
cla4arc,N10,ancient,0.63771,1,209
cla4arc,N10,ancient,0.63771,3,181
cla4arc,N10,ancient,0.63771,4,109
cla4arc,N10,ancient,0.63771,6,73
cla4arc,N10,ancient,0.63771,5,53
cla4arc,N11,ancient,0.5712200000000001,2,302
cla4arc,N11,ancient,0.5712200000000001,1,204
cla4arc,N11,ancient,0.5712200000000001,3,191
cla4arc,N11,ancient,0.5712200000000001,4,92
cla4arc,N11,ancient,0.5712200000000001,6,80
cla4arc,N11,ancient,0.5712200000000001,5,48
cla4arc,N12,ancient,0.5234000000000001,2,179
cla4arc,N12,ancient,0.5234000000000001,3,88
cla4arc,N12,ancient,0.5234000000000001,1,86
cla4arc,N12,ancient,0.5234000000000001,6,56
cla4arc,N12,ancient,0.5234000000000001,4,43
cla4arc,N12,ancient,0.5234000000000001,5,31
cla4arc,N13,ancient,0.49844,2,193
cla4arc,N13,ancient,0.49844,1,94
cla4arc,N13,ancient,0.49844,3,81
cla4arc,N13,ancient,0.49844,6,64
cla4arc,N13,ancient,0.49844,4,57
cla4arc,N13,ancient,0.49844,5,33
cla4arc,N2,ancient,0.31394,2,303
cla4arc,N2,ancient,0.31394,3,185
cla4arc,N2,ancient,0.31394,1,175
cla4arc,N2,ancient,0.31394,4,106
cla4arc,N2,ancient,0.31394,6,75
cla4arc,N2,ancient,0.31394,5,50
cla4arc,N3,ancient,0.40694,2,159
cla4arc,N3,ancient,0.40694,1,72
cla4arc,N3,ancient,0.40694,3,68
cla4arc,N3,ancient,0.40694,6,53
cla4arc,N3,ancient,0.40694,4,39
cla4arc,N3,ancient,0.40694,5,30
cla4arc,N4,ancient,0.42152,2,316
cla4arc,N4,ancient,0.42152,1,204
cla4arc,N4,ancient,0.42152,3,203
cla4arc,N4,ancient,0.42152,4,108
cla4arc,N4,ancient,0.42152,6,86
cla4arc,N4,ancient,0.42152,5,51
cla4arc,N5,ancient,0.37485,2,171
cla4arc,N5,ancient,0.37485,3,86
cla4arc,N5,ancient,0.37485,1,80
cla4arc,N5,ancient,0.37485,4,56
cla4arc,N5,ancient,0.37485,6,54
cla4arc,N5,ancient,0.37485,5,28
cla4arc,N7,ancient,0.45789,2,328
cla4arc,N7,ancient,0.45789,1,235
cla4arc,N7,ancient,0.45789,3,220
cla4arc,N7,ancient,0.45789,4,116
cla4arc,N7,ancient,0.45789,6,88
cla4arc,N7,ancient,0.45789,5,57
cla4arc,N8,ancient,0.46604,2,228
cla4arc,N8,ancient,0.46604,1,124
cla4arc,N8,ancient,0.46604,3,107
cla4arc,N8,ancient,0.46604,6,67
cla4arc,N8,ancient,0.46604,4,63
cla4arc,N8,ancient,0.46604,5,40
cla4bac,N0,ancient,0.0,2,671
cla4bac,N0,ancient,0.0,1,502
cla4bac,N0,ancient,0.0,3,459
cla4bac,N0,ancient,0.0,4,192
cla4bac,N0,ancient,0.0,5,119
cla4bac,N0,ancient,0.0,6,107
fam4arc,N0,ancient,0.0,2,323
fam4arc,N0,ancient,0.0,3,221
fam4arc,N0,ancient,0.0,1,215
fam4arc,N0,ancient,0.0,4,109
fam4arc,N0,ancient,0.0,6,75
fam4arc,N0,ancient,0.0,5,62
fam4arc,N1,ancient,0.26118,2,368
fam4arc,N1,ancient,0.26118,3,240
fam4arc,N1,ancient,0.26118,1,239
fam4arc,N1,ancient,0.26118,4,118
fam4arc,N1,ancient,0.26118,6,83
fam4arc,N1,ancient,0.26118,5,69
fam4arc,N15,ancient,0.63771,2,402
fam4arc,N15,ancient,0.63771,1,316
fam4arc,N15,ancient,0.63771,3,282
fam4arc,N15,ancient,0.63771,4,150
fam4arc,N15,ancient,0.63771,6,90
fam4arc,N15,ancient,0.63771,5,74
fam4arc,N16,ancient,0.5712200000000001,2,424
fam4arc,N16,ancient,0.5712200000000001,1,313
fam4arc,N16,ancient,0.5712200000000001,3,286
fam4arc,N16,ancient,0.5712200000000001,4,128
fam4arc,N16,ancient,0.5712200000000001,6,89
fam4arc,N16,ancient,0.5712200000000001,5,72
fam4arc,N17,ancient,0.5234000000000001,2,227
fam4arc,N17,ancient,0.5234000000000001,1,129
fam4arc,N17,ancient,0.5234000000000001,3,127
fam4arc,N17,ancient,0.5234000000000001,6,69
fam4arc,N17,ancient,0.5234000000000001,4,61
fam4arc,N17,ancient,0.5234000000000001,5,39
fam4arc,N18,ancient,0.49844,2,246
fam4arc,N18,ancient,0.49844,1,125
fam4arc,N18,ancient,0.49844,3,120
fam4arc,N18,ancient,0.49844,4,74
fam4arc,N18,ancient,0.49844,6,69
fam4arc,N18,ancient,0.49844,5,42
fam4arc,N2,ancient,0.31394,2,397
fam4arc,N2,ancient,0.31394,1,268
fam4arc,N2,ancient,0.31394,3,256
fam4arc,N2,ancient,0.31394,4,122
fam4arc,N2,ancient,0.31394,6,84
fam4arc,N2,ancient,0.31394,5,73
fam4arc,N3,ancient,0.40694,2,207
fam4arc,N3,ancient,0.40694,1,106
